time,wave_type,num_zero_crossings,mean_wave_height,max_wave_height,max_wave_period,max_crest_period,mean_wave_period,mean_wave_direction,mean_wave_spread,peak_wave_period,peak_wave_direction,peak_wave_spread,significant_wave_height,wave_energy_period,qc_wave_type,qc_num_zero_crossings,qc_mean_wave_height,qc_max_wave_height,qc_max_wave_period,qc_max_crest_period,qc_mean_wave_period,qc_mean_wave_direction,qc_mean_wave_spread,qc_peak_wave_period,qc_peak_wave_direction,qc_peak_wave_spread,qc_significant_wave_height,qc_wave_energy_period
2020-12-01 00:00:00,0.0,173.0,1.45,3.94,,,6.199,298.2990000000001,29.6,20.0,,,2.589,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 00:20:00,0.0,185.0,1.47,3.569,,,5.8,293.6,30.1,18.2,,,2.589,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 00:40:00,0.0,171.0,1.57,3.44,,,6.199,295.899,27.6,14.3,,,2.64,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 01:00:00,0.0,166.0,1.57,3.71,,,6.5,294.399,29.1,18.2,,,2.75,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 01:20:00,0.0,165.0,1.61,3.359,,,6.5,295.399,29.2,18.2,,,2.779,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 01:40:00,0.0,171.0,1.519,3.21,,,6.3,299.2,30.6,18.2,,,2.63,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 02:00:00,0.0,162.0,1.69,4.15,,,6.599,295.6,28.2,14.3,,,2.869,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 02:20:00,0.0,172.0,1.62,3.88,,,6.199,299.7990000000001,28.399,14.3,,,2.809,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 02:40:00,0.0,172.0,1.539,4.138999999999999,,,6.199,294.7990000000001,29.399,18.2,,,2.7,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 03:00:00,0.0,172.0,1.6,3.809,,,6.199,299.0,29.799,14.3,,,2.779,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 03:20:00,0.0,172.0,1.62,5.13,,,6.199,301.0,25.899,18.2,,,2.97,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 03:40:00,0.0,164.0,1.75,3.75,,,6.5,296.5,28.799,18.2,,,3.009,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 04:00:00,0.0,153.0,1.809,3.95,,,6.9,297.7,26.7,18.2,,,3.089,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 04:20:00,0.0,179.0,1.58,4.309,,,6.0,300.5,33.2,18.2,,,2.779,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 04:40:00,0.0,151.0,1.759,4.309,,,7.099,298.7990000000001,30.899,18.2,,,3.049,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 05:00:00,0.0,164.0,1.629,4.03,,,6.5,300.6,28.6,18.2,,,2.869,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 05:20:00,0.0,150.0,1.85,5.03,,,7.099,294.399,29.6,18.2,,,3.23,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 05:40:00,0.0,159.0,1.73,5.138999999999999,,,6.8,299.1,26.6,18.2,,,3.0,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 06:00:00,0.0,161.0,1.74,4.42,,,6.699,296.5,27.6,18.2,,,3.089,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 06:20:00,0.0,166.0,1.629,3.539,,,6.4,300.899,26.7,18.2,,,2.94,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 06:40:00,0.0,157.0,1.74,4.789,,,6.8,299.5,27.2,16.7,,,3.119,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 07:00:00,0.0,147.0,1.86,6.119,,,7.3,294.6,28.6,16.7,,,3.369,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 07:20:00,0.0,123.0,2.13,4.84,,,8.699,298.7,26.299,18.2,,,3.529,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 07:40:00,0.0,172.0,1.659,4.03,,,6.3,299.5,29.399,16.7,,,2.88,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 08:00:00,0.0,154.0,1.83,4.03,,,7.0,298.7,30.2,16.7,,,3.15,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 08:20:00,0.0,148.0,1.809,5.15,,,7.199,296.399,26.299,16.7,,,3.16,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 08:40:00,0.0,153.0,1.7990000000000002,4.73,,,7.0,294.899,31.799,18.2,,,3.16,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 09:00:00,0.0,158.0,1.82,4.46,,,6.8,299.2,30.899,16.7,,,3.24,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 09:20:00,0.0,156.0,1.87,4.55,,,6.9,298.6,26.299,18.2,,,3.319,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 09:40:00,0.0,148.0,1.889,4.579,,,7.199,300.6,28.299,16.7,,,3.319,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 10:00:00,0.0,169.0,1.659,6.079,,,6.3,298.5,25.799,16.7,,,3.16,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 10:20:00,0.0,152.0,1.929,4.65,,,7.099,300.5,28.6,16.7,,,3.299,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 10:40:00,0.0,160.0,1.889,4.75,,,6.699,297.5,27.7,14.3,,,3.319,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 11:00:00,0.0,150.0,2.019,6.699,,,7.099,291.7990000000001,28.5,16.7,,,3.89,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 11:20:00,0.0,144.0,2.039,4.9,,,7.4,298.5,28.6,18.2,,,3.38,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 11:40:00,0.0,133.0,2.289,5.968999999999999,,,8.1,295.399,23.299,16.7,,,3.94,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 12:00:00,0.0,150.0,2.109,6.05,,,7.199,296.6,27.2,16.7,,,3.619,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 12:20:00,0.0,156.0,1.86,5.61,,,6.9,295.7,29.799,16.7,,,3.279,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
